name,description,specializations,expertises,premierPartner,initiatives,products,regions
Tata Consultancy Services,"Tata Consultancy Services is an IT services, consulting and business solutions organization that has been partnering with many of the world&#39;s ...","Machine Learning - Services, Data Management - Services, Cloud Migration - Services, Work Transformation - Enterprise, Data Analytics - Services, Application Development - Services, Infrastructure - Services, DevOps - Services, Infrastructure - Services, Work Transformation - Enterprise, Application Development - Services, Security - Services, Data Management - Services, Cloud Migration - Services, Data Management - Services, IoT - Services, Marketing Analytics - Services, Data Analytics - Services, Security - Services, Infrastructure - Services, Application Development - Services, Machine Learning - Services, Cloud Migration - Services, Work Transformation - Enterprise, Data Center Modernization - Services, Security - Services, SAP on Google Cloud - Services, Data Analytics - Services, Machine Learning - Services, SAP on Google Cloud - Services","VMware as a Service, Automated backup & restore, SAP, Cloud Foundry Migration, Document AI, Apigee, Mobile application development, Retail & Wholesale, Browser & operating system, Work Transformation, Vertex AI, Data Lake Modernization, Data Warehouse Modernization, Financial Services, VM Migration, Teradata, Google Cloud Analytics, Open Source Technology, Improve software delivery pipeline, Telecommunications, Cloud Native Application Development, Data processing, Streaming Data Analytics, Google Cloud Productivity, New Business Channels using APIs, Business & Professional Services, Google Cloud App Dev & Monitoring, Google Cloud Databases, Enterprise search platform, Modernize Legacy Applications, Enterprise content management, Visual intelligence, Migrate Oracle Workloads to Google Cloud, Migrate OpenShift workloads to Anthos/GKE, Enterprise Databases Migration, Identity & device  management, Microsoft Azure, Anthos: Hybrid/Multi-cloud App platform, Oracle, Predictive maintenance, Database Modernization, Advertising & Marketing, Marketing technology, New eCommerce app development, Incident Response, Amazon AWS, eCommerce app modernization, Cloud Natives, Custom-built app migration, Cisco, As-is eCommerce app migration, Oracle Data Warehouse, Google Cloud ML & ML APIs, Microsoft on Google Cloud, Modernize .NET Applications, Google Cloud Compute, MLOps, AppSheet, Google Meet, Google Cloud Storage & Delivery, Conversational Design, Cloudera, Government, Google Cloud Cortex Framework, Productive Meeting Experiences, Application Security, HashiCorp, Penetration / Vulnerability Testing, Build with Google, Open Source Databases with Google Cloud, SAP on Google Cloud, Google Cloud Identity & Security, Automotive, Supply Chain & Logistics, Consumer Packaged Goods, Looker Embedded Analytics, Looker BI Modernization, CCAI Integration, Security Analytics & Operations, Marketing science, Gaming, Healthcare & Life Sciences",False,"Managed Services Provider, Global Systems Integrator Accelerator Initiative, Generative AI Initiative for Service Partners","Google Cloud Platform, Professional Services Organization, Google Workspace for Education, Google Workspace, Chrome","APAC_REGION, GLOBAL_REGION, EMEA_REGION, NA_REGION, LATAM_REGION"
Quantiphi Inc.,Quantiphi is an award winning applied AI and data science software and services company driven by the desire to solve transformational problems ...,"Marketing Analytics - Services, Data Analytics - Services, Infrastructure - Services, Data Analytics - Services, Contact Center AI - Services, Machine Learning - Services, Data Analytics - Services, Machine Learning - Services, Contact Center AI - Services, Contact Center AI - Services, Machine Learning - Services","Modernize Legacy Applications, Telecommunications, Cloud Natives, Looker Embedded Analytics, Small & Medium Business, Looker Delivery Verification Training, Looker BI Modernization, Remote monitoring, Visual intelligence, Gaming, Improve software delivery pipeline, Data Protection & Privacy, Education, Conversational Design, Industrial Goods & Manufacturing, Government, Document AI, Identity & device  management, Google Cloud Analytics, Data Lake Modernization, Oracle Cloud, Amazon AWS, Oracle Data Warehouse, Data Warehouse Modernization, Asset tracking, Google Cloud Networking, Google Cloud Databases, Build with Google, Disaster recovery, Apigee, Enterprise Databases Migration, Supply Chain & Logistics, Mobile application development, Teradata, Healthcare & Life Sciences, Media & Entertainment, Database Modernization, High Performance Computing, Data Science Development, New Business Channels using APIs, Retail & Wholesale, Google Cloud Identity & Security, Oracle, CCAI Integration, Predictive maintenance, Cloud Native Application Development, Energy & Utilities, MLOps, Non-Profit, Contact Center Intelligence, Marketing science, Marketing technology, Streaming Data Analytics, Custom-built app migration, Netezza, Automotive, Data integrations, Cisco, Automated backup & restore, Enterprise search platform, SAP, Google Cloud Cortex Framework, Business & Professional Services, Cloudera, Compliance Modernization, Google Cloud Compute, Microsoft Azure, Consumer Packaged Goods, Data processing, Vertex AI, Financial Services, Incident Response, Google Cloud Onboarding, Discovery Solutions, Google Cloud ML & ML APIs, Open Source Databases with Google Cloud, eCommerce app modernization, Data archival, Advertising & Marketing, Google Cloud Storage & Delivery, Security Analytics & Operations, VMware as a Service, Google Cloud App Dev & Monitoring, Google Cloud Architecture Framework, VM Migration, MySQL/postgre SQL migration, Application Security",False,"CCAI Virtual Agent Accelerator, Solution Providers Accelerator Initaitive, Generative AI Initiative for Service Partners","Google Cloud Platform, Professional Services Organization, Google Workspace","GLOBAL_REGION, EMEA_REGION, APAC_REGION, NA_REGION"
Accenture,Let&#39;s build a better world with Accenture and Google Cloud. By combining the best of Google human-centric design and ...,"Cloud Migration - Services, Machine Learning - Services, Data Center Modernization - Services, Application Development - Services, Infrastructure - Services, Machine Learning - Services, Cloud Migration - Services, Work Transformation - Enterprise, Application Development - Services, Infrastructure - Services, Machine Learning - Services, Work Transformation - Enterprise, Machine Learning - Services, Cloud Migration - Services, Infrastructure - Services, Application Development - Services, Application Development - Services, Security - Services, Data Analytics - Services","Google Cloud ML & ML APIs, Google Cloud Compute, Google Cloud Onboarding, SAP, Google Cloud Identity & Security, SAP on Google Cloud, VM Migration, Vertex AI, Predictive maintenance, Consumer Packaged Goods, Financial Services, Retail & Wholesale, Google Meet, Google Cloud Networking, Google Cloud Productivity, Work Transformation, Enterprise content management, Industrial Goods & Manufacturing, Media & Entertainment, Google Cloud App Dev & Monitoring, Cloud Native Application Development, Google SecOps Service  Delivery, Data Lake Modernization, Data Warehouse Modernization, Looker BI Modernization, Data processing, Looker Embedded Analytics, Streaming Data Analytics",False,"Managed Services Provider, Cloud Search, ISV Solution Connect, Looker, Global Systems Integrator Accelerator Initiative, SecOps MSSP and Technology Integration Initiative, SecOps Reseller Initiative, Generative AI Initiative for Service Partners","Google Workspace, Chrome, Google Cloud Platform, Google Maps Platform, Google Workspace for Education, Professional Services Organization","GLOBAL_REGION, APAC_REGION, EMEA_REGION, NA_REGION, JAPAN_REGION, LATAM_REGION"
66degrees,"As a Google Cloud Partner, 66degrees is focused on driving meaningful digital transformation within our clients. Our experts ...","Infrastructure - Services, Machine Learning - Services, Data Analytics - Services, DevOps - Services, Cloud Migration - Services, Work Transformation - Enterprise","Google Cloud Productivity, Google Cloud Networking, Healthcare & Life Sciences, Automotive, Non-Profit, Consumer Packaged Goods, Cloud Natives, Google Cloud Analytics, Google Cloud Identity & Security, Amazon AWS, Compliance Modernization, Enterprise Databases Migration, Google Cloud Onboarding, Custom-built app migration, Business & Professional Services, Industrial Goods & Manufacturing, Google Cloud OS & Hardware (Chrome), Browser & operating system, Looker BI Modernization, Oracle Cloud, Oracle, MySQL/postgre SQL migration, Looker Delivery Verification Training, Data Warehouse Modernization, Google Cloud Architecture Framework, Disaster recovery, Teradata, Google Cloud ML & ML APIs, Document AI, Data Protection & Privacy, Looker Embedded Analytics, Google Cloud Databases, Data processing, HashiCorp, Google Cloud Compute, Visual intelligence, Data Lake Modernization, Discovery Solutions, AppSheet",False,"Managed Services Provider, Lead Management, Actifio Initiative, Marketing Co-op Funds, Solution Providers Accelerator Initaitive, SecOps Reseller Initiative, Generative AI Initiative for Service Partners","Google Workspace, Google Cloud Platform, Chrome, Google Maps Platform, Professional Services Organization, Google Workspace for Education","GLOBAL_REGION, NA_REGION, APAC_REGION, LATAM_REGION, EMEA_REGION"
Wipro Limited,"Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading global information technology, consulting and business process services ...","Application Development - Services, Infrastructure - Services, Cloud Migration - Services, Data Center Modernization - Services, Data Analytics - Services, Infrastructure - Services, Cloud Migration - Services, Infrastructure - Services, Application Development - Services, Cloud Migration - Services","Microsoft on Google Cloud, Google Cloud Databases, Financial Services, Data Warehouse Modernization, Google Cloud Analytics, Google Cloud ML & ML APIs, Google Cloud Compute, Google Cloud Identity & Security, Google Cloud Networking, Data Lake Modernization, Data Protection & Privacy, Enterprise Databases Migration, Migrate Oracle Workloads to Google Cloud, Oracle, SAP, Microsoft Azure, Apigee, Healthcare & Life Sciences, Looker Embedded Analytics, Looker BI Modernization, Automated backup & restore, Data archival, Disaster recovery, Modernize .NET Applications, Telecommunications, Mainframe Modernization, SAP on Google Cloud, Compliance Modernization, Custom-built app migration, Open Source Technology, Google Cloud Storage & Delivery, Data integrations, Predictive maintenance, Industrial Goods & Manufacturing, Cloud Native Application Development, eCommerce app modernization, Modernize Legacy Applications, Retail & Wholesale, Google Cloud Onboarding, Google Cloud App Dev & Monitoring, Contact Center Intelligence, Streaming Data Analytics, VM Migration, Google Cloud Cortex Framework, Data processing, Improve software delivery pipeline, Marketing science, Consumer Packaged Goods, Business & Professional Services, Automotive, MySQL/postgre SQL migration, Media & Entertainment",False,"Managed Services Provider, Global Systems Integrator Accelerator Initiative, Generative AI Initiative for Service Partners","Google Workspace, Google Cloud Platform","APAC_REGION, GLOBAL_REGION, EMEA_REGION, NA_REGION"
SADA,"At SADA, we climb every mountain, clear every hurdle, and turn the improbable into possible – over and over again. Simply ...","Work Transformation - Enterprise, Data Center Modernization - Services, Machine Learning - Services, Cloud Migration - Services, Security - Services, Data Management - Services, Application Development - Services, Location-Based Services, Data Analytics - Services, Infrastructure - Services","Microsoft on Google Cloud, Anthos: Hybrid/Multi-cloud App platform, Microsoft Azure, Retail & Wholesale, CCAI Integration, Google Cloud Analytics, Google Meet, Conversational Design, Healthcare & Life Sciences, Discovery Solutions, Open Source Technology, VM Migration, Data Lake Modernization, Amazon AWS, Industrial Goods & Manufacturing, Business & Professional Services, Media & Entertainment, Work Transformation, Google Cloud ML & ML APIs, Government, Financial Services, Custom-built app migration, Google Cloud Productivity, Gaming, VMware as a Service, Google Maps Platform, Google Cloud Compute, Automotive, Consumer Packaged Goods, Telecommunications, Web app migration - LAMP stack, Google SecOps Service  Delivery",False,"Managed Services Provider, Cloud Search, Lead Management, Actifio Initiative, Marketing Co-op Funds, Solution Providers Accelerator Initaitive, Google Maps Platform Mobility Initiative, SecOps Reseller Initiative, Google Earth Engine Initiative, Generative AI Initiative for Service Partners","Google Workspace, Google Cloud Platform, Chrome, Google Workspace for Education, Professional Services Organization, Google Maps Platform","GLOBAL_REGION, NA_REGION, EMEA_REGION, APAC_REGION"
Noovle SpA Società Benefit,Noovle is the TIM Group leading cloud enabler and Center of Excellence supporting the digital transformation of Italian public and private ...,"Application Development - Services, Location-Based Services, Work Transformation - Enterprise","Google Cloud ML & ML APIs, Work Transformation, Google Cloud Productivity, Google Meet, Energy & Utilities, Small & Medium Business, Business & Professional Services, Cloud Native Application Development, Mobile application development, Media & Entertainment, Microsoft Azure, Google Cloud Compute, VM Migration, Data integrations, Streaming Data Analytics, Google Cloud Analytics, New eCommerce app development, Telecommunications, VDI migration, Non-Profit, Consumer Packaged Goods, Visual intelligence, Vertex AI, Google Cloud Networking, Automotive, Government, Google Cloud OS & Hardware (Chrome), Financial Services, Cloud Natives, Advertising & Marketing, Data Warehouse Modernization, Marketing science, Amazon AWS, Google Cloud Databases, Open Source Technology, Improve software delivery pipeline, Data processing, Google Maps Platform, Industrial Goods & Manufacturing, Retail & Wholesale, Education, Looker Embedded Analytics",False,"Google Earth Engine Initiative, SecOps Reseller Initiative","Google Workspace, Google Cloud Platform, Professional Services Organization, Google Workspace for Education, Google Maps Platform, Chrome","GLOBAL_REGION, EMEA_REGION, LATAM_REGION, NA_REGION"
DoiT International,"DoiT International works with fast growing, digitally savvy companies around the world to help harness public cloud technology and services to ...","Data Analytics - Services, Cloud Migration - Services, DevOps - Services, Infrastructure - Training, Cloud Migration - Services, Machine Learning - Services, Infrastructure - Services, Infrastructure - Services, Data Analytics - Services, DevOps - Services","Financial Services, Advertising & Marketing, Data Warehouse Modernization, Google Maps Platform, Google Cloud Compute, Energy & Utilities, Google Cloud Databases, Google Cloud Analytics, Media & Entertainment, Google Cloud Networking",False,"Cloud Search, Managed Services Provider, Lead Management, Marketing Co-op Funds, Google Maps Platform Mobility Initiative, SecOps Reseller Initiative, Actifio Initiative, Google Earth Engine Initiative","Google Workspace, Google Cloud Platform, Chrome, Google Maps Platform, Google Workspace for Education, Professional Services Organization, Google Cloud Training","GLOBAL_REGION, LATAM_REGION, EMEA_REGION, NA_REGION, APAC_REGION, JAPAN_REGION"
Searce,"Searce is a niche, cloud-native tech consulting firm that empowers clients to futurify their businesses, leveraging Cloud, AI &amp; Analytics ...","Infrastructure - Services, Data Analytics - Services, Work Transformation - Enterprise, Work Transformation - SMB, Cloud Migration - Services","Google Maps Platform, Media & Entertainment, Advertising & Marketing, Small & Medium Business, Financial Services, Data Lake Modernization, Data archival, Database Modernization, Build with Google, Google Cloud Analytics, Migrate Oracle Workloads to Google Cloud, Oracle Data Warehouse, Security Analytics & Operations, Enterprise Databases Migration, Predictive maintenance, MySQL/postgre SQL migration, Asset tracking, Data integrations, Data processing, Incident Response, Visual intelligence, Cloudera, Remote monitoring, Energy & Utilities, Looker BI Modernization, Healthcare & Life Sciences, Open Source Databases with Google Cloud, VM Migration, Business & Professional Services, Retail & Wholesale, Telecommunications, Gaming, Apigee, eCommerce app modernization, Improve software delivery pipeline, Google Cloud Productivity, Data Warehouse Modernization, Google Cloud Databases, Streaming Data Analytics, Custom-built app migration, CCAI Integration, Contact Center Intelligence, Conversational Design, Microsoft on Google Cloud, New Business Channels using APIs, Work Transformation, Industrial Goods & Manufacturing, Automotive, Consumer Packaged Goods, Cloud Natives, Education, Supply Chain & Logistics, Oracle, Open Source Technology, Vertex AI",False,"Cloud Search, Managed Services Provider, Lead Management, Actifio Initiative, Marketing Co-op Funds, Solution Providers Accelerator Initaitive, Google Maps Platform Mobility Initiative, Generative AI Initiative for Service Partners","Google Workspace, Google Cloud Platform, Chrome, Professional Services Organization, Google Maps Platform","GLOBAL_REGION, APAC_REGION, EMEA_REGION"
Capgemini,"A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of innovation to address the entire ...","Work Transformation - Enterprise, Data Analytics - Services, Cloud Migration - Services","Enterprise content management, Work Transformation, Anthos: Hybrid/Multi-cloud App platform, Application Security, Improve software delivery pipeline, Telecommunications, Apigee, New Business Channels using APIs, Google Cloud Identity & Security, Identity & device  management, Cloud Native Application Development, Open Source Technology, Custom-built app migration, Google Cloud Compute, Productive Meeting Experiences, Marketing science, Google Cloud Productivity, Data Protection & Privacy, Data archival, Disaster recovery, Vertex AI, Financial Services, Streaming Data Analytics, Data integrations, Data processing, Google Cloud Analytics, Google Cloud Networking, Database Modernization, Build with Google, Google Cloud Databases, Conversational Design, Consumer Packaged Goods, Industrial Goods & Manufacturing, Business & Professional Services, Energy & Utilities, Google Cloud App Dev & Monitoring, Data Lake Modernization, Automated backup & restore, Teradata, Data Warehouse Modernization, Oracle Data Warehouse, Oracle, Data Science Development, Amazon AWS, Migrate Oracle Workloads to Google Cloud, Oracle Cloud, VMware as a Service, VM Migration, SAP",False,Generative AI Initiative for Service Partners,"Google Cloud Platform, Google Workspace","GLOBAL_REGION, NA_REGION"
